Date,Aluminium
2017-01-20,1843.75
2017-01-13,1809.0
2017-01-06,1715.0
2016-12-30,1694.0
2016-12-23,1721.25
2016-12-16,1724.5
2016-12-09,1755.5
2016-12-02,1716.5
2016-11-25,1758.75
2016-11-18,1697.75
2016-11-11,1743.5
2016-11-04,1717.25
2016-10-28,1718.75
