Date,lmex
2016-11-18,2644.5
2016-11-25,2840.5
2016-12-02,2770.6
2016-12-09,2806.1
2016-12-16,2744.2
2016-12-23,2663.2
2016-12-30,2659.6
2017-01-06,2688.5
2017-01-13,2839.5
2017-01-20,2792.1
2017-01-27,2807.7
2017-02-03,2800.2
2017-02-10,2918.5
2017-02-17,2872.5
2017-02-24,2863.3
2017-03-03,2859.2
2017-03-10,2785.5
2017-03-17,2881.8
2017-03-24,2846.2
2017-03-31,2858.7
2017-04-07,2840.6
2017-04-14,2773.3
2017-04-21,2748.1
2017-04-28,2782.5
2017-05-05,2725.5
2017-05-12,2715.7
2017-05-19,2774.6
2017-05-26,2769.8
2017-06-02,2745.8
2017-06-09,2758.7
2017-06-16,2719.8
2017-06-23,2780.9
2017-06-30,2853.5
2017-07-07,2821.7
2017-07-14,2858.5
2017-07-21,2866.2
2017-07-28,2960.9
2017-08-04,2979.7
2017-08-11,3049.6
2017-08-18,3107.0
2017-08-25,3151.5
2017-09-01,3242.8
2017-09-08,3158.3
2017-09-15,3110.5
2017-09-22,3122.0
2017-09-29,3124.7
2017-10-06,3197.9
2017-10-13,3266.1
2017-10-20,3257.2
2017-10-27,3244.8
2017-11-03,3286.5
2017-11-10,3226.8
2017-11-17,3206.7
2017-11-24,3288.6
2017-12-01,3219.4
2017-12-08,3100.7
2017-12-15,3226.7
2017-12-22,3343.8
2017-12-29,3418.9
2018-01-05,3367.6
2018-01-12,3380.0
2018-01-19,3375.5
2018-01-26,3428.8
2018-02-02,3406.5
2018-02-09,3270.7
2018-02-16,3464.4
2018-02-23,3391.6
2018-03-02,3316.3
2018-03-09,3310.9
2018-03-16,3276.1
2018-03-23,3189.3
2018-03-30,3204.8
2018-04-06,3222.6
2018-04-13,3316.2
2018-04-20,3457.1
2018-04-27,3288.3
2018-05-04,3339.0
2018-05-11,3343.8
2018-05-18,3330.5
2018-05-25,3331.2
2018-06-01,3370.5
2018-06-08,3488.8
2018-06-15,3357.9
2018-06-22,3274.2
2018-06-29,3203.9
2018-07-06,3060.9
2018-07-13,3005.2
2018-07-20,2972.7
2018-07-27,3033.0
2018-08-03,2988.1
2018-08-10,3007.2
2018-08-17,2877.9
2018-08-24,2970.4
2018-08-31,2928.3
2018-09-07,2882.5
2018-09-14,2879.7
2018-09-21,3025.3
2018-09-28,2994.8
2018-10-05,2998.4
