date,india_retail_mobility,india_grocery_mobility,india_transit_mobility,india_workplace_mobility,india_residential_mobility,delhi_retail_mobility,wb_retail_mobility,mh_retail_mobility,tn_retail_mobility,dl_workplace_mobility,wb_workplace_mobility,mh_workplace_mobility,tn_workplace_mobility,dl_transit_mobility,wb_transit_mobility,mh_transit_mobility,tn_transit_mobility
2020-02-15,,,,,,,,,,,,,,,,,
2020-02-16,,,,,,,,,,,,,,,,,
2020-02-17,,,,,,,,,,,,,,,,,
2020-02-18,,,,,,,,,,,,,,,,,
2020-02-19,,,,,,,,,,,,,,,,,
2020-02-20,,,,,,,,,,,,,,,,,
2020-02-21,-0.14285714285714285,1.7142857142857142,1.4285714285714286,0.14285714285714285,0.7142857142857143,-0.7142857142857143,-3.2857142857142856,-1.8571428571428572,-0.5714285714285714,0.42857142857142855,3.2857142857142856,-4.285714285714286,5.0,2.142857142857143,-1.2857142857142858,-0.42857142857142855,1.0
2020-02-22,-0.5714285714285714,1.1428571428571428,0.7142857142857143,-0.8571428571428571,0.8571428571428571,-0.8571428571428571,-3.857142857142857,-2.4285714285714284,-0.7142857142857143,0.0,2.4285714285714284,-5.285714285714286,4.142857142857143,1.2857142857142858,-2.0,-1.4285714285714286,1.1428571428571428
2020-02-23,-1.1428571428571428,0.7142857142857143,0.42857142857142855,-0.5714285714285714,1.0,-1.1428571428571428,-4.0,-3.0,-0.8571428571428571,0.2857142857142857,2.5714285714285716,-4.857142857142857,4.0,0.8571428571428571,-2.142857142857143,-1.8571428571428572,1.4285714285714286
2020-02-24,-1.1428571428571428,0.5714285714285714,0.42857142857142855,-0.5714285714285714,1.0,-1.2857142857142858,-4.285714285714286,-3.142857142857143,-0.8571428571428571,0.42857142857142855,2.4285714285714284,-4.714285714285714,4.0,0.8571428571428571,-2.4285714285714284,-1.8571428571428572,1.5714285714285714
2020-02-25,-1.2857142857142858,0.0,0.2857142857142857,-0.8571428571428571,1.0,-2.0,-5.428571428571429,-3.5714285714285716,-0.14285714285714285,-0.42857142857142855,2.0,-4.571428571428571,3.857142857142857,0.14285714285714285,-3.2857142857142856,-2.2857142857142856,2.142857142857143
2020-02-26,-1.2857142857142858,-0.2857142857142857,0.5714285714285714,-1.0,0.7142857142857143,-3.0,-5.142857142857143,-3.5714285714285716,0.2857142857142857,-1.5714285714285714,1.7142857142857142,-2.4285714285714284,3.142857142857143,-1.1428571428571428,-3.0,-1.5714285714285714,2.857142857142857
2020-02-27,-1.5714285714285714,-0.8571428571428571,0.0,-1.0,0.8571428571428571,-3.7142857142857144,-4.857142857142857,-3.857142857142857,0.0,-2.2857142857142856,1.7142857142857142,-2.2857142857142856,3.2857142857142856,-2.4285714285714284,-2.857142857142857,-2.0,2.4285714285714284
2020-02-28,-1.0,-0.7142857142857143,0.7142857142857143,2.4285714285714284,0.14285714285714285,-3.2857142857142856,-4.142857142857143,-3.2857142857142856,-0.14285714285714285,-0.2857142857142857,3.5714285714285716,1.4285714285714286,4.0,-1.8571428571428572,-1.7142857142857142,-0.8571428571428571,1.4285714285714286
2020-02-29,-1.0,-0.5714285714285714,1.0,3.857142857142857,0.0,-5.142857142857143,-3.5714285714285716,-3.0,0.2857142857142857,0.2857142857142857,4.857142857142857,3.0,5.428571428571429,-2.5714285714285716,-0.8571428571428571,-0.2857142857142857,1.4285714285714286
2020-03-01,-0.5714285714285714,0.14285714285714285,1.0,4.0,0.0,-5.857142857142857,-3.4285714285714284,-2.7142857142857144,1.1428571428571428,0.14285714285714285,5.0,3.2857142857142856,5.714285714285714,-3.4285714285714284,-0.42857142857142855,-0.2857142857142857,1.5714285714285714
2020-03-02,-0.42857142857142855,0.42857142857142855,0.8571428571428571,4.142857142857143,0.0,-6.142857142857143,-3.0,-2.5714285714285716,1.5714285714285714,-0.14285714285714285,5.142857142857143,3.5714285714285716,5.714285714285714,-4.428571428571429,0.0,-0.2857142857142857,1.5714285714285714
2020-03-03,-0.42857142857142855,1.0,0.7142857142857143,4.571428571428571,0.0,-5.714285714285714,-2.7142857142857144,-2.2857142857142856,1.0,0.8571428571428571,5.571428571428571,3.7142857142857144,5.857142857142857,-4.428571428571429,0.5714285714285714,-0.2857142857142857,1.0
2020-03-04,-0.42857142857142855,1.7142857142857142,0.7142857142857143,5.142857142857143,0.14285714285714285,-5.285714285714286,-2.4285714285714284,-2.142857142857143,1.1428571428571428,2.0,5.857142857142857,4.142857142857143,6.428571428571429,-3.857142857142857,0.8571428571428571,-0.2857142857142857,0.8571428571428571
2020-03-05,-0.42857142857142855,2.2857142857142856,0.8571428571428571,5.285714285714286,0.14285714285714285,-5.714285714285714,-2.2857142857142856,-2.0,2.2857142857142856,2.5714285714285716,5.857142857142857,4.571428571428571,5.857142857142857,-3.7142857142857144,1.1428571428571428,-0.14285714285714285,1.7142857142857142
2020-03-06,-0.5714285714285714,2.4285714285714284,1.1428571428571428,5.285714285714286,0.2857142857142857,-7.285714285714286,-2.2857142857142856,-1.5714285714285714,2.5714285714285716,2.5714285714285716,5.857142857142857,4.714285714285714,5.428571428571429,-3.857142857142857,1.4285714285714286,0.14285714285714285,2.2857142857142856
2020-03-07,-0.2857142857142857,3.4285714285714284,1.8571428571428572,5.142857142857143,0.2857142857142857,-6.285714285714286,-2.142857142857143,-1.1428571428571428,2.142857142857143,2.7142857142857144,5.571428571428571,4.428571428571429,5.0,-3.0,2.0,0.5714285714285714,2.4285714285714284
2020-03-08,-0.14285714285714285,4.142857142857143,2.2857142857142856,5.571428571428571,0.14285714285714285,-6.428571428571429,-1.1428571428571428,-0.7142857142857143,1.7142857142857142,3.2857142857142856,5.714285714285714,4.571428571428571,4.857142857142857,-3.5714285714285716,3.0,0.42857142857142855,2.4285714285714284
2020-03-09,-0.2857142857142857,4.714285714285714,1.4285714285714286,3.142857142857143,0.5714285714285714,-6.285714285714286,-4.0,-0.5714285714285714,1.7142857142857142,0.7142857142857143,-2.0,3.4285714285714284,4.428571428571429,-5.714285714285714,-1.7142857142857142,-0.14285714285714285,2.7142857142857144
2020-03-10,-2.857142857142857,1.1428571428571428,-1.7142857142857142,-3.7142857142857144,2.142857142857143,-13.285714285714286,-5.0,-2.857142857142857,1.7142857142857142,-11.142857142857142,-7.428571428571429,-5.571428571428571,4.0,-14.0,-3.857142857142857,-4.571428571428571,2.7142857142857144
2020-03-11,-3.5714285714285716,0.2857142857142857,-2.2857142857142856,-5.428571428571429,2.2857142857142856,-14.714285714285714,-5.428571428571429,-3.5714285714285716,1.1428571428571428,-13.142857142857142,-8.285714285714286,-6.428571428571429,3.857142857142857,-15.714285714285714,-4.0,-4.857142857142857,2.2857142857142856
2020-03-12,-3.857142857142857,0.0,-2.5714285714285716,-6.142857142857143,2.2857142857142856,-15.0,-5.857142857142857,-4.285714285714286,0.42857142857142855,-13.857142857142858,-8.571428571428571,-7.142857142857143,4.0,-16.571428571428573,-4.285714285714286,-5.285714285714286,1.5714285714285714
2020-03-13,-4.428571428571429,-0.14285714285714285,-3.2857142857142856,-6.857142857142857,2.2857142857142856,-14.428571428571429,-6.285714285714286,-5.571428571428571,-0.14285714285714285,-14.142857142857142,-9.0,-8.142857142857142,4.0,-17.571428571428573,-4.857142857142857,-6.428571428571429,1.0
2020-03-14,-6.0,-1.4285714285714286,-5.142857142857143,-8.714285714285714,2.857142857142857,-16.428571428571427,-7.285714285714286,-7.285714285714286,-0.7142857142857143,-16.0,-9.857142857142858,-9.428571428571429,3.142857142857143,-20.142857142857142,-6.285714285714286,-8.142857142857142,0.0
2020-03-15,-7.857142857142857,-2.857142857142857,-6.571428571428571,-9.285714285714286,3.2857142857142856,-17.714285714285715,-8.857142857142858,-9.857142857142858,-2.142857142857143,-16.857142857142858,-10.142857142857142,-10.142857142857142,3.142857142857143,-21.285714285714285,-8.0,-9.428571428571429,-1.1428571428571428
2020-03-16,-8.857142857142858,-3.4285714285714284,-6.571428571428571,-8.142857142857142,3.2857142857142856,-18.857142857142858,-6.571428571428571,-11.428571428571429,-3.0,-15.0,-3.142857142857143,-10.714285714285714,3.142857142857143,-20.285714285714285,-4.0,-10.285714285714286,-1.8571428571428572
2020-03-17,-7.714285714285714,-0.14285714285714285,-4.714285714285714,-3.0,2.142857142857143,-13.285714285714286,-5.571428571428571,-11.571428571428571,-4.285714285714286,-4.857142857142857,1.0,-4.142857142857143,2.142857142857143,-14.142857142857142,-2.7142857142857144,-7.857142857142857,-2.4285714285714284
2020-03-18,-8.714285714285714,0.14285714285714285,-6.0,-3.4285714285714284,2.5714285714285716,-13.285714285714286,-6.571428571428571,-14.0,-6.0,-4.714285714285714,0.42857142857142855,-6.714285714285714,0.5714285714285714,-14.857142857142858,-4.428571428571429,-10.571428571428571,-3.7142857142857144
2020-03-19,-10.571428571428571,0.14285714285714285,-8.0,-5.0,3.2857142857142856,-14.285714285714286,-8.0,-17.142857142857142,-8.142857142857142,-6.142857142857143,-0.8571428571428571,-10.0,-1.0,-16.857142857142858,-6.571428571428571,-13.857142857142858,-5.428571428571429
2020-03-20,-13.0,0.14285714285714285,-10.285714285714286,-7.142857142857143,4.142857142857143,-16.571428571428573,-10.142857142857142,-21.714285714285715,-10.714285714285714,-8.571428571428571,-2.5714285714285716,-14.142857142857142,-3.0,-19.571428571428573,-9.142857142857142,-17.571428571428573,-7.571428571428571
2020-03-21,-16.285714285714285,0.0,-12.714285714285714,-8.857142857142858,4.714285714285714,-20.0,-13.0,-28.285714285714285,-13.714285714285714,-11.428571428571429,-3.857142857142857,-19.571428571428573,-4.428571428571429,-22.857142857142858,-11.714285714285714,-22.714285714285715,-9.285714285714286
2020-03-22,-25.857142857142858,-10.714285714285714,-21.714285714285715,-16.142857142857142,7.285714285714286,-30.285714285714285,-21.571428571428573,-38.142857142857146,-23.714285714285715,-21.285714285714285,-9.857142857142858,-28.571428571428573,-11.142857142857142,-32.285714285714285,-20.285714285714285,-32.285714285714285,-17.857142857142858
