date,Bangalore,Chennai,Delhi,Hyderabad,Mumbai,Pune
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-18,,,,,,
2020-01-19,110.10142857142857,105.44000000000001,108.74857142857142,108.29857142857144,110.25,109.23
2020-01-20,110.91714285714285,107.78714285714285,110.35571428571428,110.73857142857143,110.76285714285714,110.07714285714285
2020-01-21,111.4542857142857,110.13714285714286,110.20000000000002,114.12285714285714,110.82428571428571,111.08857142857143
2020-01-22,113.10142857142857,113.60000000000001,110.70142857142858,117.55714285714285,111.12428571428572,111.94857142857143
2020-01-23,114.16714285714286,116.40428571428572,109.84,119.14857142857143,110.98,112.08571428571429
2020-01-24,115.05571428571429,119.09285714285714,108.24714285714286,120.99285714285715,109.7957142857143,111.51285714285713
2020-01-25,116.13857142857144,121.23142857142855,106.22000000000001,123.57857142857142,107.03428571428572,110.12571428571428
2020-01-26,116.56142857142856,121.05714285714285,105.32428571428571,124.96857142857142,106.22571428571429,108.78999999999999
2020-01-27,117.16142857142857,121.39,104.85714285714286,126.17428571428572,106.33285714285714,107.70285714285716
2020-01-28,117.42285714285715,119.58,106.13857142857141,128.08142857142857,106.71000000000001,107.95142857142856
2020-01-29,118.46000000000001,122.94571428571429,107.02428571428571,131.71285714285713,106.98,108.20285714285716
2020-01-30,118.6,124.49571428571429,110.18142857142857,134.7242857142857,108.23571428571428,109.71000000000001
2020-01-31,118.46714285714286,125.24285714285715,112.49142857142859,137.22142857142856,108.6842857142857,111.60571428571428
2020-02-01,117.15857142857143,125.44142857142857,114.27428571428571,137.64285714285714,109.56714285714285,112.22857142857143
2020-02-02,116.30428571428571,122.70571428571428,115.26285714285714,137.81285714285713,110.2642857142857,113.82571428571428
2020-02-03,115.5,121.74571428571429,115.74714285714286,137.64285714285714,109.87285714285714,114.69142857142856
2020-02-04,115.78999999999999,125.89428571428572,116.13000000000001,137.75714285714284,110.10285714285715,115.75714285714285
2020-02-05,115.0557142857143,123.2942857142857,114.40714285714286,136.3657142857143,109.34285714285714,115.19714285714284
2020-02-06,116.04857142857144,124.6542857142857,113.11857142857143,135.66285714285715,107.30857142857143,114.84571428571428
2020-02-07,117.4857142857143,126.22285714285714,113.44285714285715,136.90285714285713,107.38857142857144,115.88857142857144
2020-02-08,118.33857142857143,127.50571428571429,111.53571428571429,138.4742857142857,107.67285714285715,116.85857142857142
2020-02-09,118.69000000000001,128.65714285714287,114.7057142857143,140.09428571428572,108.91571428571429,116.57857142857144
2020-02-10,118.91,127.95,115.47714285714287,140.47142857142856,108.93285714285716,116.25142857142859
2020-02-11,118.34285714285716,127.57714285714287,114.62714285714286,141.58285714285714,108.57571428571428,115.04285714285716
2020-02-12,118.62142857142858,127.5557142857143,116.54285714285713,144.38714285714286,110.21714285714286,115.9542857142857
2020-02-13,117.57857142857142,125.81857142857142,116.67285714285715,146.84,112.41142857142857,117.30857142857144
2020-02-14,118.11857142857141,125.25999999999999,120.09285714285714,149.28857142857143,116.79857142857142,117.45285714285716
2020-02-15,118.19571428571429,123.20714285714287,124.10285714285715,149.43714285714285,117.63571428571429,118.34285714285714
2020-02-16,118.03714285714285,122.33857142857143,124.47142857142856,149.89285714285714,118.61999999999999,119.96714285714286
2020-02-17,118.77857142857142,121.44571428571429,123.77428571428571,150.54999999999998,119.57714285714285,120.27
2020-02-18,119.46000000000001,117.93571428571428,124.21714285714286,149.8857142857143,119.86,121.47857142857143
2020-02-19,119.87714285714286,117.25142857142858,123.20857142857143,147.12999999999997,118.74285714285715,121.20142857142858
2020-02-20,121.02,116.42857142857143,123.08714285714287,144.76714285714286,117.22857142857143,119.81714285714285
2020-02-21,118.10000000000001,115.71571428571428,119.65714285714286,139.99142857142857,111.10571428571428,116.85285714285715
2020-02-22,116.40857142857143,116.03857142857143,118.08714285714287,137.72142857142856,108.57285714285715,113.89142857142858
2020-02-23,116.66714285714286,115.56857142857143,116.50857142857141,135.4442857142857,106.58857142857144,111.29714285714286
2020-02-24,115.77285714285715,115.53142857142858,117.52,136.1757142857143,105.75428571428571,110.86428571428571
2020-02-25,116.53285714285713,118.94857142857143,119.18857142857142,138.47857142857143,105.84428571428573,110.08
2020-02-26,116.59285714285714,120.09571428571428,118.73142857142857,141.51,106.70142857142856,110.63428571428571
2020-02-27,116.10571428571428,119.47285714285715,118.16857142857143,144.76285714285714,107.29428571428572,109.80714285714286
2020-02-28,118.29142857142857,118.87285714285714,118.19142857142856,147.71142857142857,108.91285714285716,109.52142857142857
2020-02-29,120.58285714285714,118.86428571428571,116.98571428571428,150.51999999999998,109.23,109.54285714285713
2020-03-01,121.30714285714284,119.17,115.22285714285714,152.64714285714285,108.83285714285715,109.03428571428572
2020-03-02,121.11285714285714,118.77285714285713,113.63285714285715,151.76999999999998,108.00714285714285,108.30714285714286
2020-03-03,119.17714285714285,115.49714285714286,110.40142857142857,149.09714285714287,107.04428571428572,108.1257142857143
2020-03-04,117.20285714285714,115.96285714285715,109.39285714285714,145.0614285714286,105.75999999999999,106.63285714285715
2020-03-05,115.46857142857142,117.48142857142857,108.66571428571429,140.5914285714286,105.16571428571429,105.87142857142858
2020-03-06,113.37714285714286,116.17285714285715,108.90142857142858,136.6442857142857,104.77,106.51714285714286
2020-03-07,111.38428571428571,114.91,107.5757142857143,133.00714285714284,103.92428571428572,106.5657142857143
2020-03-08,108.75,114.00428571428571,104.23714285714286,129.29857142857142,102.50571428571428,106.40857142857143
