date,location,new_vaccinations_smoothed_per_million,new_vaccinations_smoothed,total_vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred
2020-08-10,Germany,,,,,
2020-08-11,Germany,,,,,
2020-08-12,Germany,,,,,
2020-08-13,Germany,,,,,
2020-08-14,Germany,,,,,
2020-08-15,Germany,,,,,
2020-08-16,Germany,,,,,
2020-08-17,Germany,,,,,
2020-08-18,Germany,,,,,
2020-08-19,Germany,,,,,
2020-08-20,Germany,,,,,
2020-08-21,Germany,,,,,
2020-08-22,Germany,,,,,
2020-08-23,Germany,,,,,
2020-08-24,Germany,,,,,
2020-08-25,Germany,,,,,
2020-08-26,Germany,,,,,
2020-08-27,Germany,,,,,
2020-08-28,Germany,,,,,
2020-08-29,Germany,,,,,
2020-08-30,Germany,,,,,
2020-08-31,Germany,,,,,
2020-09-01,Germany,,,,,
2020-09-02,Germany,,,,,
2020-09-03,Germany,,,,,
2020-09-04,Germany,,,,,
2020-09-05,Germany,,,,,
2020-09-06,Germany,,,,,
2020-09-07,Germany,,,,,
2020-09-08,Germany,,,,,
2020-09-09,Germany,,,,,
2020-09-10,Germany,,,,,
2020-09-11,Germany,,,,,
2020-09-12,Germany,,,,,
2020-09-13,Germany,,,,,
2020-09-14,Germany,,,,,
2020-09-15,Germany,,,,,
2020-09-16,Germany,,,,,
2020-09-17,Germany,,,,,
2020-09-18,Germany,,,,,
2020-09-19,Germany,,,,,
2020-09-20,Germany,,,,,
2020-09-21,Germany,,,,,
2020-09-22,Germany,,,,,
2020-09-23,Germany,,,,,
2020-09-24,Germany,,,,,
2020-09-25,Germany,,,,,
2020-09-26,Germany,,,,,
2020-09-27,Germany,,,,,
2020-09-28,Germany,,,,,
2020-09-29,Germany,,,,,
2020-09-30,Germany,,,,,
2020-10-01,Germany,,,,,
2020-10-02,Germany,,,,,
2020-10-03,Germany,,,,,
2020-10-04,Germany,,,,,
2020-10-05,Germany,,,,,
2020-10-06,Germany,,,,,
2020-10-07,Germany,,,,,
2020-10-08,Germany,,,,,
2020-10-09,Germany,,,,,
2020-10-10,Germany,,,,,
2020-10-11,Germany,,,,,
2020-10-12,Germany,,,,,
2020-10-13,Germany,,,,,
2020-10-14,Germany,,,,,
2020-10-15,Germany,,,,,
2020-10-16,Germany,,,,,
2020-10-17,Germany,,,,,
2020-10-18,Germany,,,,,
2020-10-19,Germany,,,,,
2020-10-20,Germany,,,,,
2020-10-21,Germany,,,,,
2020-10-22,Germany,,,,,
2020-10-23,Germany,,,,,
2020-10-24,Germany,,,,,
2020-10-25,Germany,,,,,
2020-10-26,Germany,,,,,
2020-10-27,Germany,,,,,
2020-10-28,Germany,,,,,
2020-10-29,Germany,,,,,
2020-10-30,Germany,,,,,
2020-10-31,Germany,,,,,
2020-11-01,Germany,,,,,
2020-11-02,Germany,,,,,
2020-11-03,Germany,,,,,
2020-11-04,Germany,,,,,
2020-11-05,Germany,,,,,
2020-11-06,Germany,,,,,
2020-11-07,Germany,,,,,
2020-11-08,Germany,,,,,
2020-11-09,Germany,,,,,
2020-11-10,Germany,,,,,
2020-11-11,Germany,,,,,
2020-11-12,Germany,,,,,
2020-11-13,Germany,,,,,
2020-11-14,Germany,,,,,
2020-11-15,Germany,,,,,
2020-11-16,Germany,,,,,
2020-11-17,Germany,,,,,
2020-11-18,Germany,,,,,
2020-11-19,Germany,,,,,
2020-11-20,Germany,,,,,
2020-11-21,Germany,,,,,
2020-11-22,Germany,,,,,
2020-11-23,Germany,,,,,
2020-11-24,Germany,,,,,
2020-11-25,Germany,,,,,
2020-11-26,Germany,,,,,
2020-11-27,Germany,,,,,
2020-11-28,Germany,,,,,
2020-11-29,Germany,,,,,
2020-11-30,Germany,,,,,
2020-12-01,Germany,,,,,
2020-12-02,Germany,,,,,
2020-12-03,Germany,,,,,
2020-12-04,Germany,,,,,
2020-12-05,Germany,,,,,
2020-12-06,Germany,,,,,
2020-12-07,Germany,,,,,
2020-12-08,Germany,,,,,
2020-12-09,Germany,,,,,
2020-12-10,Germany,,,,,
2020-12-11,Germany,,,,,
2020-12-12,Germany,,,,,
2020-12-13,Germany,,,,,
2020-12-14,Germany,,,,,
2020-12-15,Germany,,,,,
2020-12-16,Germany,,,,,
2020-12-17,Germany,,,,,
2020-12-18,Germany,,,,,
2020-12-19,Germany,,,,,
2020-12-20,Germany,,,,,
2020-12-21,Germany,,,,,
2020-12-22,Germany,,,,,
2020-12-23,Germany,,,,,
2020-12-24,Germany,,,,,
2020-12-25,Germany,,,,,
2020-12-26,Germany,,,,,
2020-12-27,Germany,,,24375.0,0.03,0.0
2020-12-28,Germany,216.0,18097.0,42472.0,0.05,0.0
2020-12-29,Germany,410.0,34398.0,93170.0,0.11,0.0
2020-12-30,Germany,528.0,44330.0,157365.0,0.19,0.0
2020-12-31,Germany,545.0,45750.0,207377.0,0.25,0.0
2021-01-01,Germany,497.0,41737.0,233058.0,0.28,0.0
2021-01-02,Germany,510.0,42794.0,281140.0,0.34,0.0
2021-01-03,Germany,476.0,39907.0,303722.0,0.36,0.0
2021-01-04,Germany,524.0,43922.0,349925.0,0.42,0.0
2021-01-05,Germany,527.0,44214.0,402666.0,0.48,0.0
2021-01-06,Germany,525.0,44068.0,465844.0,0.56,0.0
2021-01-07,Germany,534.0,44780.0,520837.0,0.62,0.0
2021-01-08,Germany,597.0,50092.0,583702.0,0.7,0.0
2021-01-09,Germany,619.0,51904.0,644467.0,0.77,0.0
2021-01-10,Germany,642.0,53823.0,680483.0,0.81,0.0
2021-01-11,Germany,680.0,57030.0,749135.0,0.89,0.0
2021-01-12,Germany,725.0,60805.0,828300.0,0.99,0.0
2021-01-13,Germany,808.0,67822.0,940598.0,1.12,0.0
2021-01-14,Germany,858.0,71985.0,1024733.0,1.22,0.0
2021-01-15,Germany,907.0,76120.0,1116545.0,1.33,0.0
2021-01-16,Germany,903.0,75739.0,1174637.0,1.4,0.01
2021-01-17,Germany,923.0,77424.0,1222451.0,1.46,0.03
2021-01-18,Germany,948.0,79509.0,1305698.0,1.56,0.04
2021-01-19,Germany,1017.0,85315.0,1425503.0,1.7,0.09
2021-01-20,Germany,1052.0,88257.0,1558396.0,1.86,0.15
2021-01-21,Germany,1088.0,91316.0,1663944.0,1.98,0.2
2021-01-22,Germany,1106.0,92820.0,1766287.0,2.11,0.24
2021-01-23,Germany,1156.0,96958.0,1853344.0,2.21,0.3
2021-01-24,Germany,1156.0,96959.0,1901165.0,2.27,0.32
2021-01-25,Germany,1169.0,98071.0,1992193.0,2.37,0.37
2021-01-26,Germany,1133.0,95033.0,2090732.0,2.49,0.43
2021-01-27,Germany,1093.0,91688.0,2200210.0,2.62,0.49
2021-01-28,Germany,1071.0,89833.0,2292775.0,2.73,0.55
2021-01-29,Germany,1080.0,90610.0,2400556.0,2.86,0.62
2021-01-30,Germany,1082.0,90761.0,2488669.0,2.97,0.68
2021-01-31,Germany,1098.0,92105.0,2545902.0,3.03,0.72
2021-02-01,Germany,1148.0,96308.0,2666350.0,3.18,0.79
2021-02-02,Germany,1206.0,101213.0,2799220.0,3.34,0.87
2021-02-03,Germany,1298.0,108873.0,2962323.0,3.53,0.99
2021-02-04,Germany,1369.0,114882.0,3096946.0,3.69,1.08
2021-02-05,Germany,1437.0,120568.0,3244534.0,3.87,1.17
2021-02-06,Germany,1447.0,121440.0,3338746.0,3.98,1.23
2021-02-07,Germany,1441.0,120918.0,3392326.0,4.04,1.26
2021-02-08,Germany,1423.0,119356.0,3501841.0,4.17,1.33
2021-02-09,Germany,1426.0,119626.0,3636602.0,4.33,1.41
2021-02-10,Germany,1413.0,118548.0,3792157.0,4.52,1.51
2021-02-11,Germany,1430.0,119988.0,3936860.0,4.69,1.59
2021-02-12,Germany,1445.0,121226.0,4093113.0,4.88,1.68
2021-02-13,Germany,1468.0,123178.0,4200993.0,5.01,1.73
2021-02-14,Germany,1488.0,124877.0,4266466.0,5.09,1.77
2021-02-15,Germany,1516.0,127213.0,4392332.0,5.24,1.83
2021-02-16,Germany,1517.0,127240.0,4527284.0,5.4,1.9
2021-02-17,Germany,1510.0,126723.0,4679221.0,5.58,1.97
2021-02-18,Germany,1511.0,126795.0,4824425.0,5.75,2.03
2021-02-19,Germany,1516.0,127202.0,4983525.0,5.94,2.1
2021-02-20,Germany,1524.0,127869.0,5096078.0,6.07,2.14
2021-02-21,Germany,1559.0,130808.0,5182120.0,6.18,2.17
2021-02-22,Germany,1612.0,135213.0,5338825.0,6.36,2.24
2021-02-23,Germany,1672.0,140308.0,5509437.0,6.57,2.32
2021-02-24,Germany,1715.0,143910.0,5686593.0,6.78,2.39
2021-02-25,Germany,1792.0,150362.0,5876959.0,7.0,2.46
2021-02-26,Germany,1886.0,158234.0,6091162.0,7.26,2.54
2021-02-27,Germany,1947.0,163315.0,6239285.0,7.44,2.59
2021-02-28,Germany,1976.0,165813.0,6342811.0,7.56,2.61
2021-03-01,Germany,2049.0,171921.0,6542273.0,7.8,2.67
2021-03-02,Germany,2134.0,179007.0,6762489.0,8.06,2.74
2021-03-03,Germany,2255.0,189212.0,7011078.0,8.36,2.82
2021-03-04,Germany,2350.0,197153.0,7257031.0,8.65,2.9
2021-03-05,Germany,2455.0,205964.0,7532909.0,8.98,2.98
2021-03-06,Germany,2548.0,213788.0,7735798.0,9.22,3.04
2021-03-07,Germany,2624.0,220128.0,7883706.0,9.4,3.08
2021-03-08,Germany,2690.0,225684.0,8122058.0,9.68,3.14
2021-03-09,Germany,2746.0,230376.0,8375121.0,9.98,3.2
2021-03-10,Germany,2816.0,236293.0,8665131.0,10.33,3.28
2021-03-11,Germany,2883.0,241916.0,8950440.0,10.67,3.36
2021-03-12,Germany,2972.0,249342.0,9278303.0,11.06,3.44
2021-03-13,Germany,3037.0,254832.0,9519624.0,11.35,3.5
2021-03-14,Germany,3076.0,258056.0,9690097.0,11.55,3.54
2021-03-15,Germany,3094.0,259578.0,9939105.0,11.85,3.61
2021-03-16,Germany,2969.0,249077.0,10118662.0,12.06,3.7
2021-03-17,Germany,2826.0,237062.0,10324562.0,12.31,3.79
2021-03-18,Germany,2670.0,224028.0,10518635.0,12.54,3.88
2021-03-19,Germany,2531.0,212331.0,10764623.0,12.83,3.98
2021-03-20,Germany,2496.0,209414.0,10985525.0,13.09,4.05
2021-03-21,Germany,2487.0,208624.0,11150463.0,13.29,4.09
2021-03-22,Germany,2522.0,211622.0,11420457.0,13.61,4.18
2021-03-23,Germany,2731.0,229098.0,11722346.0,13.97,4.28
2021-03-24,Germany,2960.0,248346.0,12062984.0,14.38,4.39
2021-03-25,Germany,3199.0,268359.0,12397146.0,14.78,4.49
2021-03-26,Germany,3419.0,286860.0,12772642.0,15.22,4.59
2021-03-27,Germany,3524.0,295631.0,13054941.0,15.56,4.67
2021-03-28,Germany,3578.0,300183.0,13251744.0,15.79,4.73
2021-03-29,Germany,3640.0,305407.0,13558306.0,16.16,4.84
2021-03-30,Germany,3688.0,309425.0,13888319.0,16.55,4.95
2021-03-31,Germany,3683.0,309023.0,14226144.0,16.96,5.07
2021-04-01,Germany,3674.0,308221.0,14554692.0,17.35,5.18
2021-04-02,Germany,3420.0,286903.0,14780963.0,17.62,5.26
2021-04-03,Germany,3335.0,279796.0,15013512.0,17.89,5.34
2021-04-04,Germany,3329.0,279323.0,15207006.0,18.13,5.4
2021-04-05,Germany,3230.0,271030.0,15455518.0,18.42,5.48
2021-04-06,Germany,3306.0,277388.0,15830035.0,18.87,5.6
2021-04-07,Germany,3871.0,324813.0,16499837.0,19.67,5.71
2021-04-08,Germany,4505.0,377995.0,17200659.0,20.5,5.82
2021-04-09,Germany,5200.0,436264.0,17834808.0,21.26,5.92
2021-04-10,Germany,5439.0,456354.0,18207992.0,21.7,6.0
2021-04-11,Germany,5560.0,466479.0,18472359.0,22.02,6.06
2021-04-12,Germany,5851.0,490917.0,18891934.0,22.52,6.15
2021-04-13,Germany,6198.0,520021.0,19470181.0,23.21,6.24
2021-04-14,Germany,6382.0,535414.0,20247735.0,24.13,6.34
2021-04-15,Germany,6351.0,532850.0,20930607.0,24.95,6.42
2021-04-16,Germany,6291.0,527832.0,21529634.0,25.66,6.51
2021-04-17,Germany,6280.0,526915.0,21896396.0,26.1,6.58
2021-04-18,Germany,6290.0,527720.0,22166399.0,26.42,6.62
2021-04-19,Germany,6263.0,525464.0,22570182.0,26.9,6.7
2021-04-20,Germany,6237.0,523272.0,23133083.0,27.57,6.77
2021-04-21,Germany,6145.0,515546.0,23856555.0,28.43,6.86
2021-04-22,Germany,6074.0,509585.0,24497704.0,29.2,6.94
2021-04-23,Germany,6004.0,503717.0,25055653.0,29.86,7.02
2021-04-24,Germany,6003.0,503690.0,25422229.0,30.3,7.09
2021-04-25,Germany,6026.0,505623.0,25705758.0,30.64,7.15
2021-04-26,Germany,6079.0,510000.0,26140179.0,31.16,7.24
2021-04-27,Germany,6462.0,542150.0,26928130.0,32.1,7.35
2021-04-28,Germany,7148.0,599695.0,28054419.0,33.44,7.5
2021-04-29,Germany,7673.0,643766.0,29004066.0,34.57,7.66
2021-04-30,Germany,8096.0,679287.0,29810663.0,35.53,7.83
2021-05-01,Germany,8046.0,675068.0,30147702.0,35.93,7.92
2021-05-02,Germany,8015.0,672482.0,30413130.0,36.25,8.0
2021-05-03,Germany,8047.0,675188.0,30866495.0,36.79,8.14
2021-05-04,Germany,8145.0,683407.0,31711979.0,37.8,8.33
2021-05-05,Germany,8187.0,686903.0,32862741.0,39.17,8.61
2021-05-06,Germany,8263.0,693311.0,33857240.0,40.35,8.88
2021-05-07,Germany,8413.0,705844.0,34751572.0,41.42,9.16
2021-05-08,Germany,8565.0,718642.0,35178195.0,41.93,9.35
2021-05-09,Germany,8602.0,721680.0,35464887.0,42.27,9.47
2021-05-10,Germany,8836.0,741375.0,36056119.0,42.97,9.7
2021-05-11,Germany,9253.0,776293.0,37146030.0,44.27,10.04
2021-05-12,Germany,9713.0,814917.0,38567159.0,45.97,10.48
2021-05-13,Germany,8752.0,734289.0,38997263.0,46.48,10.68
2021-05-14,Germany,8521.0,714924.0,39756041.0,47.38,10.95
2021-05-15,Germany,8478.0,711282.0,40157171.0,47.86,11.15
2021-05-16,Germany,8471.0,710704.0,40439813.0,48.2,11.29
2021-05-17,Germany,8413.0,705818.0,40996845.0,48.86,11.54
2021-05-18,Germany,8046.0,675089.0,41871651.0,49.91,11.96
2021-05-19,Germany,7502.0,629400.0,42972958.0,51.22,12.6
2021-05-20,Germany,8390.0,703892.0,43924508.0,52.35,13.19
2021-05-21,Germany,8552.0,717493.0,44778494.0,53.37,13.72
2021-05-22,Germany,8677.0,727995.0,45253139.0,53.94,14.03
2021-05-23,Germany,8682.0,728408.0,45538670.0,54.28,14.22
2021-05-24,Germany,8289.0,695456.0,45865035.0,54.67,14.44
2021-05-25,Germany,7919.0,664396.0,46522423.0,55.45,14.9
2021-05-26,Germany,8058.0,676034.0,47705198.0,56.86,15.75
2021-05-27,Germany,8215.0,689235.0,48749154.0,58.1,16.51
2021-05-28,Germany,8305.0,696818.0,49656217.0,59.18,17.17
2021-05-29,Germany,8197.0,687759.0,50067454.0,59.67,17.47
2021-05-30,Germany,8195.0,687564.0,50351621.0,60.01,17.7
2021-05-31,Germany,8573.0,719311.0,50900213.0,60.67,18.14
2021-06-01,Germany,9143.0,767090.0,51892052.0,61.85,18.84
2021-06-02,Germany,9262.0,777090.0,53144826.0,63.34,19.71
2021-06-03,Germany,8583.0,720093.0,53789802.0,64.11,20.21
2021-06-04,Germany,8424.0,706738.0,54603383.0,65.08,20.83
2021-06-05,Germany,8428.0,707089.0,55017074.0,65.57,21.21
2021-06-06,Germany,8442.0,708322.0,55309877.0,65.92,21.48
2021-06-07,Germany,8557.0,717921.0,55925662.0,66.66,21.99
2021-06-08,Germany,8674.0,727784.0,56986543.0,67.92,22.84
2021-06-09,Germany,8980.0,753467.0,58419094.0,69.63,24.0
2021-06-10,Germany,9922.0,832491.0,59617241.0,71.06,24.94
2021-06-11,Germany,10358.0,869020.0,60686521.0,72.33,25.78
2021-06-12,Germany,10398.0,872393.0,61123826.0,72.85,26.15
2021-06-13,Germany,10382.0,871061.0,61407306.0,73.19,26.41
2021-06-14,Germany,10453.0,877030.0,62064873.0,73.97,26.93
2021-06-15,Germany,10441.0,875993.0,63118496.0,75.23,27.77
2021-06-16,Germany,10369.0,869940.0,64508677.0,76.89,28.86
2021-06-17,Germany,10293.0,863590.0,65662371.0,78.26,29.76
2021-06-18,Germany,10171.0,853326.0,66659801.0,79.45,30.53
2021-06-19,Germany,10156.0,852114.0,67088622.0,79.96,30.89
2021-06-20,Germany,10177.0,853837.0,67384165.0,80.31,31.17
2021-06-21,Germany,10136.0,850423.0,68017833.0,81.07,31.67
2021-06-22,Germany,10185.0,854559.0,69100412.0,82.36,32.51
2021-06-23,Germany,10102.0,847549.0,70441520.0,83.96,33.52
2021-06-24,Germany,9910.0,831483.0,71482750.0,85.2,34.17
2021-06-25,Germany,9788.0,821219.0,72408332.0,86.3,34.81
2021-06-26,Germany,9759.0,818758.0,72819925.0,86.79,35.14
2021-06-27,Germany,9753.0,818308.0,73112323.0,87.14,35.38
2021-06-28,Germany,9750.0,818024.0,73744000.0,87.89,35.84
2021-06-29,Germany,9503.0,797327.0,74681704.0,89.01,36.49
2021-06-30,Germany,8971.0,752637.0,75709976.0,90.24,37.17
2021-07-01,Germany,8877.0,744749.0,76695992.0,91.41,37.8
2021-07-02,Germany,8748.0,733966.0,77546096.0,92.43,38.36
2021-07-03,Germany,8692.0,729232.0,77924552.0,92.88,38.63
2021-07-04,Germany,8660.0,726592.0,78198470.0,93.2,38.84
2021-07-05,Germany,8500.0,713183.0,78736281.0,93.84,39.25
2021-07-06,Germany,8234.0,690834.0,79517542.0,94.78,39.85
2021-07-07,Germany,8186.0,686787.0,80517485.0,95.97,40.66
2021-07-08,Germany,7957.0,667586.0,81369096.0,96.98,41.35
2021-07-09,Germany,7805.0,654832.0,82129922.0,97.89,42.0
2021-07-10,Germany,7747.0,650014.0,82474651.0,98.3,42.29
2021-07-11,Germany,7671.0,643591.0,82703607.0,98.57,42.49
2021-07-12,Germany,7555.0,633839.0,83173156.0,99.13,42.87
2021-07-13,Germany,7526.0,631462.0,83937775.0,100.04,43.56
2021-07-14,Germany,7493.0,628649.0,84918028.0,101.21,44.49
2021-07-15,Germany,7357.0,617269.0,85689976.0,102.13,45.2
2021-07-16,Germany,7193.0,603458.0,86354130.0,102.92,45.81
2021-07-17,Germany,7071.0,593301.0,86627761.0,103.25,46.05
2021-07-18,Germany,7024.0,589294.0,86828664.0,103.49,46.22
2021-07-19,Germany,6877.0,577024.0,87212326.0,103.95,46.56
2021-07-20,Germany,6615.0,555005.0,87822808.0,104.67,47.14
2021-07-21,Germany,6239.0,523445.0,88582140.0,105.58,47.86
2021-07-22,Germany,5990.0,502533.0,89207706.0,106.33,48.45
2021-07-23,Germany,5838.0,489840.0,89783009.0,107.01,49.0
2021-07-24,Germany,5735.0,481130.0,89995669.0,107.26,49.19
2021-07-25,Germany,5605.0,470280.0,90120627.0,107.41,49.3
2021-07-26,Germany,5532.0,464147.0,90461354.0,107.82,49.62
2021-07-27,Germany,5441.0,456467.0,91018077.0,108.48,50.17
2021-07-28,Germany,5331.0,447291.0,91713177.0,109.31,50.85
2021-07-29,Germany,5257.0,441023.0,92294869.0,110.01,51.41
2021-07-30,Germany,5130.0,430391.0,92795747.0,110.6,51.9
2021-07-31,Germany,5102.0,428047.0,92991997.0,110.84,52.07
2021-08-01,Germany,5090.0,427028.0,93109823.0,110.98,52.18
2021-08-02,Germany,5012.0,420545.0,93405166.0,111.33,52.46
2021-08-03,Germany,4856.0,407428.0,93870070.0,111.88,52.92
2021-08-04,Germany,4654.0,390514.0,94446772.0,112.57,53.49
2021-08-05,Germany,4552.0,381879.0,94968019.0,113.19,54.0
2021-08-06,Germany,4455.0,373765.0,95412102.0,113.72,54.44
2021-08-07,Germany,4438.0,372355.0,95598482.0,113.94,54.61
2021-08-08,Germany,4436.0,372147.0,95714854.0,114.08,54.72
2021-08-09,Germany,4438.0,372315.0,96011369.0,114.43,55.01
2021-08-10,Germany,4382.0,367652.0,96443637.0,114.95,55.43
2021-08-11,Germany,4330.0,363260.0,96989589.0,115.6,55.96
2021-08-12,Germany,4252.0,356745.0,97465237.0,116.17,56.4
2021-08-13,Germany,4222.0,354188.0,97891415.0,116.68,56.8
2021-08-14,Germany,4239.0,355632.0,98087908.0,116.91,56.97
2021-08-15,Germany,4242.0,355879.0,98206008.0,117.05,57.07
2021-08-16,Germany,4191.0,351628.0,98472768.0,117.37,57.31
2021-08-17,Germany,4073.0,341760.0,98835960.0,117.8,57.62
2021-08-18,Germany,3867.0,324430.0,99260596.0,118.31,57.99
2021-08-19,Germany,3628.0,304410.0,99596107.0,118.71,58.26
2021-08-20,Germany,3487.0,292601.0,99939620.0,119.12,58.54
2021-08-21,Germany,3420.0,286928.0,100096404.0,119.3,58.65
2021-08-22,Germany,3380.0,283551.0,100190863.0,119.42,58.73
2021-08-23,Germany,3323.0,278804.0,100424398.0,119.69,58.91
2021-08-24,Germany,3213.0,269563.0,100722899.0,120.05,59.14
2021-08-25,Germany,3074.0,257917.0,101066012.0,120.46,59.4
2021-08-26,Germany,3016.0,253022.0,101367264.0,120.82,59.62
2021-08-27,Germany,2863.0,240189.0,101620944.0,121.12,59.81
2021-08-28,Germany,2830.0,237458.0,101758609.0,121.28,59.9
2021-08-29,Germany,2815.0,236177.0,101844100.0,121.39,59.97
2021-08-30,Germany,2745.0,230305.0,102036534.0,121.62,60.11
2021-08-31,Germany,2652.0,222511.0,102280476.0,121.91,60.28
2021-09-01,Germany,2573.0,215865.0,102577070.0,122.26,60.48
2021-09-02,Germany,2500.0,209717.0,102835281.0,122.57,60.65
2021-09-03,Germany,2489.0,208862.0,103082979.0,122.86,60.82
2021-09-04,Germany,2439.0,204661.0,103191239.0,122.99,60.89
2021-09-05,Germany,2404.0,201703.0,103256021.0,123.07,60.94
2021-09-06,Germany,2341.0,196426.0,103411516.0,123.25,61.04
2021-09-07,Germany,2307.0,193542.0,103635268.0,123.52,61.18
2021-09-08,Germany,2247.0,188489.0,103896494.0,123.83,61.35
2021-09-09,Germany,2243.0,188219.0,104152811.0,124.14,61.51
2021-09-10,Germany,2210.0,185437.0,104381037.0,124.41,61.67
2021-09-11,Germany,2214.0,185777.0,104491680.0,124.54,61.75
2021-09-12,Germany,2214.0,185787.0,104556532.0,124.62,61.8
2021-09-13,Germany,2235.0,187478.0,104723860.0,124.82,61.92
2021-09-14,Germany,2258.0,189443.0,104961368.0,125.1,62.06
2021-09-15,Germany,2298.0,192800.0,105246091.0,125.44,62.25
2021-09-16,Germany,2333.0,195713.0,105522805.0,125.77,62.42
2021-09-17,Germany,2369.0,198761.0,105772362.0,126.07,62.58
2021-09-18,Germany,2373.0,199111.0,105885456.0,126.2,62.67
2021-09-19,Germany,2382.0,199813.0,105955225.0,126.29,62.72
2021-09-20,Germany,2367.0,198554.0,106113739.0,126.48,62.83
2021-09-21,Germany,2361.0,198093.0,106348018.0,126.75,62.98
2021-09-22,Germany,2346.0,196815.0,106623799.0,127.08,63.15
2021-09-23,Germany,2333.0,195712.0,106892792.0,127.4,63.31
2021-09-24,Germany,2319.0,194544.0,107134168.0,127.69,63.47
2021-09-25,Germany,2297.0,192744.0,107234665.0,127.81,63.55
2021-09-26,Germany,2275.0,190881.0,107291391.0,127.88,63.6
2021-09-27,Germany,2264.0,189962.0,107443471.0,128.06,63.69
2021-09-28,Germany,2247.0,188487.0,107667425.0,128.33,63.83
2021-09-29,Germany,2206.0,185114.0,107919599.0,128.63,63.98
2021-09-30,Germany,2165.0,181652.0,108164359.0,128.92,64.13
2021-10-01,Germany,1972.0,165418.0,108292097.0,129.07,64.21
2021-10-02,Germany,1855.0,155670.0,108324354.0,129.11,64.23
2021-10-03,Germany,1782.0,149551.0,108338246.0,129.13,64.24
2021-10-04,Germany,1686.0,141497.0,108433951.0,129.24,64.3
2021-10-05,Germany,1616.0,135594.0,108616582.0,129.46,64.41
2021-10-06,Germany,1535.0,128794.0,108821155.0,129.7,64.52
2021-10-07,Germany,1479.0,124094.0,109033017.0,129.96,64.65
2021-10-08,Germany,1573.0,131972.0,109215904.0,130.17,64.75
2021-10-09,Germany,1588.0,133249.0,109257100.0,130.22,64.78
2021-10-10,Germany,1594.0,133739.0,109274421.0,130.24,64.79
2021-10-11,Germany,1595.0,133782.0,109370423.0,130.36,64.85
2021-10-12,Germany,1589.0,133357.0,109550083.0,130.57,64.95
2021-10-13,Germany,1593.0,133616.0,109756470.0,130.82,65.06
2021-10-14,Germany,1587.0,133128.0,109964916.0,131.07,65.17
2021-10-15,Germany,1567.0,131510.0,110136474.0,131.27,65.26
2021-10-16,Germany,1569.0,131599.0,110178293.0,131.32,65.29
2021-10-17,Germany,1568.0,131526.0,110195100.0,131.34,65.3
2021-10-18,Germany,1562.0,131050.0,110287775.0,131.45,65.35
2021-10-19,Germany,1559.0,130808.0,110465737.0,131.66,65.44
2021-10-20,Germany,1556.0,130579.0,110670520.0,131.91,65.54
2021-10-21,Germany,1553.0,130336.0,110877265.0,132.15,65.64
2021-10-22,Germany,1535.0,128782.0,111037950.0,132.34,65.72
2021-10-23,Germany,1539.0,129150.0,111082341.0,132.4,65.75
2021-10-24,Germany,1536.0,128861.0,111097127.0,132.42,65.76
2021-10-25,Germany,1563.0,131104.0,111205505.0,132.54,65.81
2021-10-26,Germany,1616.0,135621.0,111415085.0,132.79,65.9
2021-10-27,Germany,1682.0,141088.0,111658138.0,133.08,66.0
2021-10-28,Germany,1754.0,147140.0,111907246.0,133.38,66.11
2021-10-29,Germany,1833.0,153771.0,112114344.0,133.63,66.19
2021-10-30,Germany,1848.0,155044.0,112167650.0,133.69,66.21
2021-10-31,Germany,1851.0,155280.0,112184089.0,133.71,66.22
2021-11-01,Germany,1777.0,149097.0,112249184.0,133.79,66.24
2021-11-02,Germany,1786.0,149807.0,112463737.0,134.04,66.32
2021-11-03,Germany,1869.0,156783.0,112755622.0,134.39,66.41
2021-11-04,Germany,1957.0,164196.0,113056615.0,134.75,66.51
2021-11-05,Germany,2044.0,171466.0,113314607.0,135.06,66.58
2021-11-06,Germany,2076.0,174151.0,113386704.0,135.14,66.6
2021-11-07,Germany,2103.0,176451.0,113419246.0,135.18,66.62
2021-11-08,Germany,2289.0,192028.0,113593380.0,135.39,66.66
2021-11-09,Germany,2502.0,209891.0,113932972.0,135.8,66.75
2021-11-10,Germany,2685.0,225240.0,114332304.0,136.27,66.84
2021-11-11,Germany,2875.0,241239.0,114745290.0,136.76,66.93
2021-11-12,Germany,3001.0,251823.0,115077368.0,137.16,67.0
2021-11-13,Germany,3057.0,256481.0,115182071.0,137.28,67.03
2021-11-14,Germany,3085.0,258842.0,115231137.0,137.34,67.04
2021-11-15,Germany,3209.0,269199.0,115477771.0,137.64,67.09
2021-11-16,Germany,3438.0,288440.0,115952053.0,138.2,67.17
2021-11-17,Germany,3702.0,310562.0,116506235.0,138.86,67.25
2021-11-18,Germany,3994.0,335060.0,117090710.0,139.56,67.34
2021-11-19,Germany,4355.0,365413.0,117635258.0,140.21,67.42
2021-11-20,Germany,4552.0,381949.0,117855714.0,140.47,67.45
2021-11-21,Germany,4630.0,388493.0,117950587.0,140.58,67.47
2021-11-22,Germany,4923.0,413052.0,118369136.0,141.08,67.52
2021-11-23,Germany,5336.0,447724.0,119086120.0,141.94,67.6
2021-11-24,Germany,5924.0,497015.0,119985343.0,143.01,67.71
2021-11-25,Germany,6438.0,540193.0,120872062.0,144.07,67.81
2021-11-26,Germany,6948.0,582900.0,121715556.0,145.07,67.9
