Date,WTI
2021-01-28,52.34
2021-01-27,52.85
2021-01-26,52.61
2021-01-25,52.77
2021-01-22,52.27
2021-01-21,53.13
2021-01-20,53.24
2021-01-19,52.98
2021-01-15,52.36
2021-01-14,53.57
2021-01-13,52.91
2021-01-12,53.21
2021-01-11,52.25
2021-01-08,52.24
2021-01-07,50.83
2021-01-06,50.63
2021-01-05,49.93
2021-01-04,47.62
2020-12-31,48.52
2020-12-30,48.4
2020-12-29,48.0
2020-12-28,47.62
2020-12-24,48.23
2020-12-23,48.12
2020-12-22,48.23
2020-12-21,48.12
2020-12-20,47.02
2020-12-19,47.74
2020-12-18,49.1
2020-12-17,48.36
2020-12-16,47.82
2020-12-15,47.62
2020-12-14,46.99
2020-12-11,46.57
2020-12-10,46.78
2020-12-09,45.52
2020-12-08,45.6
2020-12-07,45.76
2020-12-04,46.26
2020-12-03,45.64
2020-12-02,45.28
2020-12-01,44.55
2020-11-30,45.34
2020-11-27,45.53
2020-11-26,45.14
2020-11-25,45.71
2020-11-24,44.91
2020-11-23,43.06
2020-11-20,41.71
2020-11-19,41.74
2020-11-18,41.82
2020-11-17,41.43
2020-11-16,41.34
2020-11-13,40.46
2020-11-12,41.12
2020-11-11,41.45
2020-11-10,41.36
2020-11-09,40.29
2020-11-06,37.14
2020-11-05,38.79
2020-11-04,39.15
2020-11-03,37.66
2020-11-02,36.81
2020-10-30,35.79
2020-10-29,36.17
2020-10-28,37.39
2020-10-27,39.57
2020-10-26,38.56
2020-10-23,40.41
2020-10-22,40.64
2020-10-21,40.03
2020-10-20,41.46
2020-10-19,40.83
2020-10-16,40.88
2020-10-15,39.98
2020-10-14,41.04
2020-10-13,40.2
2020-10-12,39.43
2020-10-09,40.6
2020-10-08,41.19
2020-10-07,39.95
2020-10-06,40.75
2020-10-05,41.19
2020-10-04,39.95
2020-10-03,39.22
2020-10-02,37.05
2020-10-01,38.72
2020-09-30,40.22
2020-09-29,39.29
2020-09-28,40.6
2020-09-25,40.25
2020-09-24,40.31
2020-09-23,39.93
2020-09-22,39.6
2020-09-21,39.31
2020-09-18,40.74
2020-09-17,40.97
2020-09-16,40.16
2020-09-15,38.28
2020-09-14,37.26
2020-09-11,37.33
2020-09-10,37.3
2020-09-09,38.05
2020-09-08,36.76
2020-09-04,41.59
2020-09-03,41.37
2020-09-02,41.51
2020-09-01,42.76
2020-08-31,42.61
2020-08-28,42.97
2020-08-27,43.04
2020-08-26,43.39
2020-08-25,43.35
2020-08-24,42.62
2020-08-21,42.34
2020-08-20,42.58
2020-08-19,42.93
2020-08-18,42.89
2020-08-17,42.89
2020-08-14,42.01
2020-08-13,42.24
2020-08-12,41.75
2020-08-11,41.61
2020-08-10,41.94
2020-08-07,41.22
2020-08-06,41.95
2020-08-05,42.19
2020-08-04,41.7
2020-08-03,41.01
2020-07-31,40.27
2020-07-30,39.92
2020-07-29,41.27
2020-07-28,41.04
2020-07-27,41.6
2020-07-24,41.29
2020-07-23,41.07
2020-07-22,41.9
2020-07-21,41.928
2020-07-20,40.876
2020-07-17,40.654
2020-07-16,40.786
2020-07-15,41.2
2020-07-14,40.29
2020-07-13,40.1
2020-07-10,40.55
2020-07-09,39.62
2020-07-08,40.9
2020-07-07,40.62
2020-07-06,40.63
2020-07-02,40.65
2020-07-01,39.82
2020-06-30,39.27
2020-06-29,39.7
2020-06-26,38.49
2020-06-25,38.72
2020-06-24,38.01
2020-06-23,40.37
2020-06-22,40.676
2020-06-19,39.798
2020-06-18,38.924
2020-06-17,38.01
2020-06-16,38.38
2020-06-15,37.12
2020-06-12,36.26
2020-06-11,36.34
2020-06-10,39.6
2020-06-09,38.94
2020-06-08,38.19
2020-06-05,39.55
2020-06-04,37.41
2020-06-03,37.29
2020-06-02,36.81
2020-06-01,35.44
2020-05-29,35.49
2020-05-28,33.71
2020-05-27,32.81
2020-05-26,34.35
2020-05-22,33.25
2020-05-21,33.92
2020-05-20,33.49
